nameTeam,cityTeam,teamName,slugSeason,gp,wins,losses,pctWins,rankConference,rankDivision,countWinsPlayoffs,countLossesPlayoffs,fgm,fga,pctFG,fg3m,fg3a,pctFG3,ftm,fta,pctFT,oreb,dreb,treb,ast,pf,stl,tov,blk,pts,ptsRank,isConferenceChampion,isNBAChampion
Washington Wizards,Washington,Wizards,2021-22,82,35,47,0.427,12,4,0,0,40.6,86,0.472,10.5,30.6,0.342,17,21.7,0.783,9,34.1,43.1,25,18.8,6.4,13.1,5,108.6,22,FALSE,NA
Utah Jazz,Utah,Jazz,2021-22,82,49,33,0.598,5,1,2,4,40.6,86.2,0.471,14.5,40.3,0.36,17.9,23.4,0.767,10.8,35.6,46.3,22.4,18.9,7.2,14,4.9,113.6,7,FALSE,NA
Toronto Raptors,Toronto,Raptors,2021-22,82,48,34,0.585,5,3,2,4,40.6,91.3,0.445,11.9,34.2,0.349,16.2,21.3,0.759,13.4,32,45.3,22.1,19.6,9,12.5,4.6,109.4,20,FALSE,NA
San Antonio Spurs,San Antonio,Spurs,2021-22,82,34,48,0.415,10,4,0,0,43.2,92.7,0.467,11.3,32,0.352,15.4,20.4,0.754,11,34.3,45.3,27.9,18.1,7.6,12.7,4.9,113.2,8,FALSE,NA
Sacramento Kings,Sacramento,Kings,2021-22,82,30,52,0.366,12,5,0,0,40.5,88.1,0.46,11.4,33.2,0.344,17.9,23.3,0.768,9.6,33.4,42.9,23.7,18.9,7.2,14.1,4.5,110.3,16,FALSE,NA
Portland Trail Blazers,Portland,Trail Blazers,2021-22,82,27,55,0.329,13,4,0,0,38.5,87.1,0.442,12.7,36.8,0.346,16.4,21.6,0.76,10.4,32.5,42.9,22.9,21.1,8,14.5,4.5,106.2,27,FALSE,NA
Phoenix Suns,Phoenix,Suns,2021-22,82,64,18,0.78,1,1,7,6,43.7,90.1,0.485,11.6,31.9,0.364,15.9,19.9,0.797,9.8,35.5,45.3,27.4,19.9,8.6,12.9,4.4,114.8,5,FALSE,NA
Philadelphia 76ers,Philadelphia,76ers,2021-22,82,51,31,0.622,4,2,6,6,39.4,84.5,0.466,11.6,31.8,0.364,19.6,23.8,0.821,8.5,33.8,42.3,23.7,19.4,7.7,12.5,5.3,109.9,18,FALSE,NA
Orlando Magic,Orlando,Magic,2021-22,82,22,60,0.268,15,5,0,0,38.3,88.3,0.434,12.2,36.9,0.331,15.5,19.7,0.787,9.1,35.2,44.3,23.7,19.7,6.8,14.5,4.5,104.2,29,FALSE,NA
Oklahoma City Thunder,Oklahoma City,Thunder,2021-22,82,24,58,0.293,14,5,0,0,38.3,89.1,0.43,12.1,37.4,0.323,15,19.9,0.756,10.4,35.2,45.6,22.2,18.3,7.6,14,4.6,103.7,30,FALSE,NA
New York Knicks,New York,Knicks,2021-22,82,37,45,0.451,11,5,0,0,37.7,86.2,0.437,13.2,36.9,0.357,18,24.1,0.744,11.5,34.6,46.1,21.9,20.4,7,13.3,4.9,106.5,26,FALSE,NA
New Orleans Pelicans,New Orleans,Pelicans,2021-22,82,36,46,0.439,8,3,2,4,40.2,88,0.457,10.6,32.1,0.332,18.3,23.2,0.789,12,33.2,45.2,25,19.7,8.3,14.1,4,109.3,21,FALSE,NA
Minnesota Timberwolves,Minnesota,Timberwolves,2021-22,82,46,36,0.561,7,3,2,4,41.6,91,0.457,14.8,41.3,0.358,18,23.1,0.778,11.2,32.9,44.2,25.7,21.8,8.8,14.3,5.6,115.9,1,FALSE,NA
Milwaukee Bucks,Milwaukee,Bucks,2021-22,82,51,31,0.622,3,1,7,5,41.8,89.4,0.468,14.1,38.4,0.366,17.8,22.9,0.776,10.2,36.5,46.7,23.9,18.2,7.6,13.4,4,115.5,3,FALSE,NA
Miami Heat,Miami,Heat,2021-22,82,53,29,0.646,1,1,11,7,39.6,84.8,0.467,13.6,35.8,0.379,17.3,21.4,0.808,9.8,33.9,43.7,25.5,20.5,7.4,14.6,3.2,110,17,FALSE,NA
Memphis Grizzlies,Memphis,Grizzlies,2021-22,82,56,26,0.683,2,1,6,6,43.5,94.4,0.461,11.5,32.7,0.353,17,23.1,0.734,14.1,35,49.2,26,19.8,9.8,13.2,6.5,115.6,2,FALSE,NA
Los Angeles Lakers,Los Angeles,Lakers,2021-22,82,33,49,0.402,11,4,0,0,41.6,88.8,0.469,12,34.5,0.347,16.8,23,0.732,9.5,34.5,44,24,20.2,7.6,14.5,5.2,112.1,11,FALSE,NA
LA Clippers,LA,Clippers,2021-22,82,42,40,0.512,9,3,0,0,40.1,87.4,0.458,12.8,34.2,0.374,15.5,19.6,0.793,9.1,34.9,44,24,18.6,7.4,13.7,5,108.4,23,FALSE,NA
Indiana Pacers,Indiana,Pacers,2021-22,82,25,57,0.305,13,4,0,0,41.4,89.5,0.463,12.2,35.4,0.344,16.4,21.4,0.768,11.3,32.6,43.9,25.4,20.4,7.1,14.4,5.6,111.5,14,FALSE,NA
Houston Rockets,Houston,Rockets,2021-22,82,20,62,0.244,15,5,0,0,39.4,86.4,0.456,13.5,38.7,0.349,17.5,24.5,0.713,9.6,32.4,42,23.6,20.6,7.3,16.5,4.7,109.7,19,FALSE,NA
Golden State Warriors,Golden State,Warriors,2021-22,82,53,29,0.646,3,2,16,6,40.5,86.4,0.469,14.3,39.4,0.364,15.6,20.3,0.769,9.8,35.7,45.5,27.1,21,8.8,14.9,4.5,111,15,TRUE,TRUE
Detroit Pistons,Detroit,Pistons,2021-22,82,23,59,0.28,14,5,0,0,38.2,88.6,0.431,11.3,34.6,0.326,17.2,22,0.782,11,32,43,23.5,21.9,7.7,14.2,4.8,104.8,28,FALSE,NA
Denver Nuggets,Denver,Nuggets,2021-22,82,48,34,0.585,6,2,1,4,41.7,86.3,0.483,12.7,35.9,0.353,16.7,21,0.795,9.2,34.9,44.1,27.8,20,7.2,14.5,3.7,112.7,10,FALSE,NA
Dallas Mavericks,Dallas,Mavericks,2021-22,82,52,30,0.634,4,2,9,9,39.3,85.1,0.461,13.1,37.4,0.35,16.4,21.2,0.771,9.3,33.8,43,23.4,19.7,6.7,12.5,4,108,24,FALSE,NA
Cleveland Cavaliers,Cleveland,Cavaliers,2021-22,82,44,38,0.537,9,3,0,0,39.7,84.6,0.469,11.6,32.8,0.355,16.8,22.1,0.76,10.2,34,44.2,25.2,17.5,7.1,14.4,4.2,107.8,25,FALSE,NA
Chicago Bulls,Chicago,Bulls,2021-22,82,46,36,0.561,6,2,1,4,41.7,86.9,0.48,10.6,28.8,0.369,17.5,21.5,0.813,8.7,33.7,42.3,23.9,18.8,7.1,12.8,4.1,111.6,13,FALSE,NA
Charlotte Hornets,Charlotte,Hornets,2021-22,82,43,39,0.524,10,3,0,0,42.8,91.4,0.468,13.9,38.2,0.365,15.8,21.4,0.74,10.8,33.7,44.6,28.1,19.9,8.6,13.3,4.9,115.3,4,FALSE,NA
Brooklyn Nets,Brooklyn,Nets,2021-22,82,44,38,0.537,7,4,0,4,42,88.4,0.475,11.5,31.7,0.361,17.5,21.7,0.805,10.3,34.1,44.4,25.3,20.4,7.1,14.1,5.5,112.9,9,FALSE,NA
Boston Celtics,Boston,Celtics,2021-22,82,51,31,0.622,2,1,14,10,40.7,87.4,0.466,13.2,37.1,0.356,17,20.9,0.816,10.5,35.5,46.1,24.8,18.5,7.2,13.6,5.8,111.8,12,FALSE,NA
Atlanta Hawks,Atlanta,Hawks,2021-22,82,43,39,0.524,8,2,1,4,41.5,88.3,0.47,12.9,34.4,0.374,18.1,22.3,0.812,10,33.9,44,24.6,18.7,7.2,11.9,4.2,113.9,6,FALSE,NA
